Date,Open,High,Low,Close,Volume
2017-03-28,1031.5,1039.0,1030.05,1035.15,2398398.0
2017-03-29,1034.3,1041.5,1025.85,1031.85,3490593.0
2017-03-30,1034.0,1035.9,1020.25,1025.5,6078590.0
2017-03-31,1023.25,1029.3,1008.0,1022.25,7076927.0
2017-04-03,1032.15,1032.45,1006.1,1008.8,2157800.0
2017-04-04,1018.575,1018.925,998.55,1002.375,2928484.5
2017-04-05,1005.0,1005.4,991.0,995.95,3699169.0
2017-04-06,998.15,1005.8,992.0,999.6,2689504.0
2017-04-07,1000.9,1000.9,979.0,981.55,3202254.0
2017-04-10,984.9,989.5,950.1,953.4,4764236.0
2017-04-11,956.05,971.7,956.05,967.15,4327733.0
2017-04-12,970.0,976.9,960.35,968.85,3348376.0
2017-04-13,970.0,990.0,926.65,931.4,15486594.0
2017-04-14,950.0,961.05,925.075,928.15,9546655.5
2017-04-17,930.0,932.1,923.5,924.9,3606717.0
2017-04-18,924.75,934.0,919.1,922.65,2323759.0
2017-04-19,923.0,930.0,912.65,919.2,5035851.0
2017-04-20,921.5,929.7,918.55,927.3,2274500.0
2017-04-21,934.8,934.8,921.1,923.7,1788733.0
2017-04-24,917.5,928.5,913.0,926.55,2778333.0
2017-04-25,925.9,933.0,920.55,929.35,2368530.0
2017-04-26,929.95,935.55,910.2,914.25,4542248.0
2017-04-27,916.0,929.0,916.0,925.25,3898604.0
2017-04-28,926.85,927.4,915.6,918.95,2514851.0
2017-05-01,925.425,926.9,915.35,920.7750000000001,2065207.0
2017-05-02,924.0,926.4,915.1,922.6,1615563.0
2017-05-03,926.5,939.1,917.65,934.3,2329724.0
2017-05-04,937.0,939.65,928.9,937.65,2639903.0
2017-05-05,936.0,937.35,920.0,931.5,2216394.0
2017-05-08,938.0,948.55,932.0,945.5,2353549.0
2017-05-09,950.6,951.95,942.1,946.65,2824686.0
2017-05-10,947.15,950.0,937.15,943.65,1682151.0
2017-05-11,946.85,949.85,937.55,944.1,1614741.0
2017-05-12,953.0,966.0,951.45,964.25,5489998.0
2017-05-15,963.5,963.5,949.1,951.55,3648582.0
2017-05-16,953.1,960.15,946.95,955.0,3065084.0
2017-05-17,951.6,958.45,943.85,952.8,1457754.0
2017-05-18,943.0,973.9,942.85,961.75,4028924.0
2017-05-19,961.5,962.7,947.85,957.95,2128698.0
2017-05-22,958.4,966.9,956.55,961.45,2751526.0
2017-05-23,964.65,967.0,954.1,957.3,2019991.0
